CountyName	DwellingTypeDescr	Year_of_Construction	TypeofRating	EnergyRating	BerRating	GroundFloorArea(sq m)	UValueWall	UValueRoof	UValueFloor	UValueWindow	UvalueDoor	WallArea	RoofArea	FloorArea	WindowArea	DoorArea	NoStoreys	CO2Rating	MainSpaceHeatingFuel	MainWaterHeatingFuel	HSMainSystemEfficiency	MultiDwellingMPRN	TGDLEdition	MPCDERValue	HSEffAdjFactor	HSSupplHeatFraction	HSSupplSystemEff	WHMainSystemEff	WHEffAdjFactor	SupplSHFuel	SupplWHFuel	SHRenewableResources	WHRenewableResources	NoOfChimneys	NoOfOpenFlues	NoOfFansAndVents	NoOfFluelessGasFires	DraftLobby	VentilationMethod	FanPowerManuDeclaredValue	HeatExchangerEff	StructureType	SuspendedWoodenFloor	PercentageDraughtStripped	NoOfSidesSheltered	PermeabilityTest	PermeabilityTestResult	TempAdjustment	HeatSystemControlCat	HeatSystemResponseCat	NoCentralHeatingPumps	CHBoilerThermostatControlled	NoOilBoilerHeatingPumps	OBBoilerThermostatControlled	OBPumpInsideDwelling	NoGasBoilerHeatingPumps	WarmAirHeatingSystem	UndergroundHeating	GroundFloorUValue	DistributionLosses	StorageLosses	ManuLossFactorAvail	SolarHotWaterHeating	ElecImmersionInSummer	CombiBoiler	KeepHotFacility	WaterStorageVolume	DeclaredLossFactor	TempFactorUnadj	TempFactorMultiplier	InsulationType	InsulationThickness	PrimaryCircuitLoss	CombiBoilerAddLoss	ElecConsumpKeepHot	ApertureArea	ZeroLossCollectorEff	CollectorHeatLossCoEff	AnnualSolarRadiation	OvershadingFactor	CylinderStat	SolarStorageVolume	VolumeOfPreHeatStore	CombinedCylinder	ElectricityConsumption	SWHPumpSolarPowered	ChargingBasisHeatConsumed	gsdHSSupplHeatFraction	gsdHSSupplSystemEff	DistLossFactor	CHPUnitHeatFraction	CHPSystemType	CHPElecEff	CHPHeatEff	CHPFuelType	SupplHSFuelTypeID	gsdSHRenewableResources	gsdWHRenewableResources	SolarHeatFraction	DeliveredLightingEnergy	DeliveredEnergyPumpsFans	DeliveredEnergyMainWater	DeliveredEnergyMainSpace	PrimaryEnergyLighting	PrimaryEnergyPumpsFans	PrimaryEnergyMainWater	PrimaryEnergyMainSpace	CO2Lighting	CO2PumpsFans	CO2MainWater	CO2MainSpace	GroundFloorArea	GroundFloorHeight	FirstFloorArea	FirstFloorHeight	SecondFloorArea	SecondFloorHeight	ThirdFloorArea	ThirdFloorHeight	ThermalBridgingFactor	ThermalMassCategory	PredominantRoofTypeArea	PredominantRoofType	LowEnergyLightingPercent	TotalDeliveredEnergy	DeliveredEnergySecondarySpace	DeliveredEnergySupplementaryWater	LivingAreaPercent	CO2SecondarySpace	CO2SupplementaryWater	PrimaryEnergySecondarySpace	PrimaryEnergySupplementaryWater	HESSchemeUpgrade	RoomInRoofArea	PurposeOfRating	DateOfAssessment	FirstEnergyTypeId	FirstEnergyType_Description	FirstEnerProdComment	FirstEnerProdDelivered	FirstPartLTotalContribution	FirstEnerProdConvFactor	FirstEnerProdCO2EmissionFactor	FirstEnerConsumedComment	FirstEnerConsumedDelivered	FirstEnerConsumedConvFactor	FirstEnerConsumedCO2EmissionFactor	SecondEnergyTypeId	SecondEnergyType_Description	SecondEnerProdComment	SecondEnerProdDelivered	SecondPartLTotalContribution	SecondEnerProdConvFactor	SecondEnerProdCO2EmissionFactor	SecondEnerConsumedComment	SecondEnerConsumedDelivered	SecondEnerConsumedConvFactor	SecondEnerConsumedCO2EmissionFactor	ThirdEnergyTypeId	ThirdEnergyType_Description	ThirdEnerProdComment	ThirdEnerProdDelivered	ThirdPartLTotalContribution	ThirdEnerProdConvFactor	ThirdEnerProdCO2EmissionFactor	ThirdEnerConsumedComment	ThirdEnerConsumedDelivered	ThirdEnerConsumedConvFactor	ThirdEnerConsumedCO2EmissionFactor	FirstBoilerFuelType	FirstHeatGenPlantEff	FirstPercentageHeat	SecondBoilerFuelType	SecondHeatGenPlantEff	SecondPercentageHeat	ThirdBoilerFuelType	ThirdHeatGenPlantEff	ThirdPercentageHeat	SolarSpaceHeatingSystem	TotalPrimaryEnergyFact	TotalCO2Emissions	FirstWallType_Description	FirstWallDescription	FirstWallArea	FirstWallUValue	FirstWallIsSemiExposed	FirstWallAgeBandId	FirstWallTypeId	SecondWallType_Description	SecondWallDescription	SecondWallArea	SecondWallUValue	SecondWallIsSemiExposed	SecondWallAgeBandId	SecondWallTypeId	ThirdWallType_Description	ThirdWallDescription	ThirdWallArea	ThirdWallUValue	ThirdWallIsSemiExposed	ThirdWallAgeBandId	ThirdWallTypeId	SA_Code	prob_smarea_error_0corr	prob_smarea_error_100corr	RER	RenewEPnren	RenewEPren	CPC	EPC
Co. Leitrim	Detached house	2000	Existing       	B3	138.23	249.93	0.55	0.29	0.41	2.7	3.0	196.86	133.63	128.01	33.52	5.57	2	31.16	Bulk LPG (propane or butane)  	Bulk LPG (propane or butane)  	93.2	NO	0	29.48	1.02	0.1	60.0	93.2	1.02	15	1	2	2	0	1	2	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	3	1	YES	0	NO 	NO 	1	NO 	NO 	0	587.797	YES	NO 	YES	NO 	None                          	None                          	200	0.0	0.6	1.17	Factory Insulated             	50	Boiler with uninsulated primar	0	0	6.96	0.776	3.293	886.0	1.0	YES	130.0		YES	75.0	NO 	NO 													2235.207	250.0	3174.845	19348.691	5409.2	605.0	3492.33	21283.56	1171.248	131.0	736.564	4488.896	128.02	2.47	121.91	2.59	0.0	0.0	0.0	0.0	0.15	Medium              	87.93	Pitch Roof-Insul.on Ceiling   	15.0		3415.382		27.2836	1260.276		3756.92	0.0	1	0.0	Grant Support	Oct 22 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity	Main House	196.857	0.55	No	9	4															117077004	0.08932461873	0.08932461873					
Co. Dublin	Ground-floor apartment	2003	Existing       	E1	315.67	74.1	0.75	0.0	0.36	3.7	3.0	64.4	0.0	74.1	9.5	1.85	1	68.35	Electricity                   	Electricity                   	100.0	NO	0	67.76	1.0	0.1	100.0	100.0	1.0	28	1	2	2	0	0	2	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	4	NO	0.0	0.3	3	2	1	NO 	0	NO 	NO 	0	NO 	NO 	0	276.201	YES	NO 	NO 	NO 	None                          	None                          	210	0.0	0.6	1.0	Factory Insulated             	35	Electric immersion heater     	0	0						NO 			NO 		NO 	NO 													388.669	169.0	2990.284	6840.288	940.58	408.98	6219.79	14227.8	203.663	88.556	1223.026	2797.678	74.1	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              			89.0		766.337		46.9636	313.432		1593.98	0.0	0	0.0	Sale	Nov 13 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0														exp walls	42.1	0.55	No	9	11		s/e to corridor	22.3	1.13	No	9.0	14.0								267099012	0.000148323688	0.0025					
Dublin 24	Semi-detached house	1979	Existing       	C1	171.91	80.4	0.4	0.13	0.64	3.93	0.0	80.0	40.0	40.0	13.0	0.0	2	36.45	Mains Gas                     	Mains Gas                     	90.5	NO	0	32.69	1.0	0.1	30.0	90.5	1.0	8	1	2	2	0	1	2	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	3	1	1	YES	0	NO 	NO 	1	NO 	NO 	0	290.489	YES	NO 	NO 	NO 	None                          	None                          	96	0.0	0.6	0.9	Factory Insulated             	25	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													738.194	175.0	3220.9	5357.245	1786.43	423.5	3542.99	5892.97	386.814	91.7	653.843	1087.521	40.2	2.38	40.2	2.63	0.0	0.0	0.0	0.0	0.15	Medium              	40.0	Pitch Roof-Insul.on Ceiling   	0.0		1813.192		16.4179	710.771		2175.83	0.0	0	0.0	Other	Oct 24 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity		80.0	0.4	No	6	5															267148013	5.5623e-07	0.0025					
Co. Carlow	Mid-terrace house	2000	Existing       	C3	224.75	77.14	0.55	0.36	0.36	2.73	3.0	48.87	38.57	38.57	14.59	0.76	2	47.21	Mains Gas                     	Mains Gas                     	79.1	NO	0	40.24	0.95	0.1	30.0	79.1	0.95	15	28	2	2	1	0	6	0	NO	Natural vent.	0	0	Timber or Steel Frame         	No                            	100	3	NO	0.0	0.6	1	1	1	NO 	0	NO 	NO 	1	NO 	NO 	0	283.096	YES	NO 	NO 	YES	None                          	None                          	98	0.0	0.6	1.3	Loose Jacket                  	50	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													621.479	214.0	3422.755	6582.409	1503.98	517.88	3765.03	7240.65	325.655	112.136	694.819	1336.229	38.57	2.3	38.57	2.5	0.0	0.0	0.0	0.0	0.15	Medium-low          	38.57	Pitch Roof-Insul.on Ceiling   	22.0	13775.813	1831.982	1103.188	16.3469	676.001	451.204	2015.18	2294.63	0	0.0	Private Letting	Nov 12 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													Timber Frame		48.87	0.55	No	9	8															17010009	5.5623e-07	0.0025					
Co. Cork	Semi-detached house	1978	Existing       	B3	142.48	80.58	0.3	0.13	0.57	1.9	3.0	78.61	40.29	40.29	10.9	3.7	2	36.54	Heating Oil                   	Heating Oil                   	94.8	NO	0	38.45	1.0	0.1	30.0	94.8	1.0	15	1	2	2	1	0	0	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	3	1	1	YES	1	YES	YES	0	NO 	NO 	0	290.905	YES	NO 	NO 	NO 	None                          	None                          	100	0.0	0.6	0.9	Factory Insulated             	20	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													388.814	230.0	3179.564	4337.909	940.93	556.6	3497.52	4771.7	203.739	120.52	864.841	1179.911	40.29	2.45	40.29	2.7	0.0	0.0	0.0	0.0	0.15	Medium              	40.29	Pitch Roof-Insul.on Ceiling   	100.0		1558.682		14.892	575.154		1714.55	0.0	0	0.0	Grant Support	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		78.61	0.3	No	6	4															47268002	0.001049684724	0.017443147236					
Co. Kerry	Detached house	1930	Existing       	G 	482.58	74.4	1.45	1.54	0.76	4.8	3.0	82.83	74.4	74.4	7.24	3.89	1	125.6	Heating Oil                   	Heating Oil                   	79.0	NO	0	60.05	0.95	0.1	30.0	79.0	0.95	15	28	2	2	1	1	0	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.6	1	1	1	NO 	1	NO 	NO 	0	NO 	NO 	0	276.866	YES	NO 	NO 	NO 	None                          	None                          	84	0.0	0.6	1.17	Loose Jacket                  	30	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													628.169	299.0	5220.218	19859.6	1520.17	723.58	5742.24	21845.56	329.161	156.676	1419.899	5401.811	74.4	2.61	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	42.97	Pitch Roof-Insul.on Ceiling   	33.0	31527.223	5520.236	0.0	21.2097	2036.967	0.0	6072.26	0.0	0	0.0	Sale	Nov 13 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													Stone	original	46.8	2.1	No	3	1	300mm Cavity	rear addition	36.03	0.6	No	7.0	4.0								77106013	0.088309239472	0.088309239472					
Co. Kildare	Ground-floor apartment	2001	Existing       	G 	476.38	49.0	0.78	0.4	0.36	2.83	3.0	46.4	49.0	49.0	9.62	1.85	1	103.15	Electricity                   	Electricity                   	100.0	NO	0	102.87	1.0	0.0	0.0	100.0	1.0	1	1	2	2	0	0	3	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	3	NO	0.0	0.3	3	4	0	NO 	0	NO 	NO 	0	NO 	NO 	0	216.64	YES	NO 	NO 	NO 	None                          	None                          	152	0.0	0.6	1.0	Factory Insulated             	20	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													394.107	0.0	3169.976	7593.913	953.74	0.0	6593.55	15795.34	206.512	0.0	1296.52	3105.91	49.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	49.0	Pitch Roof-Insul.on Ceiling   	20.0				48.9796			0.0	0.0	0	0.0	Private Letting	Sep 20 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity	Ext. walls	32.6	0.49	No	9	4			13.8	1.46	No	9.0	13.0								87090001	0.052551188904	0.052551188904					
Co. Kerry	Detached house	2004	Existing       	C1	167.97	177.42	0.55	0.13	0.44	2.1	3.0	183.1	97.89	97.89	38.5	3.7	2	43.22	Heating Oil                   	Heating Oil                   	85.7	NO	0	37.93	1.0	0.1	30.0	85.7	1.0	15	1	2	2	1	0	2	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	1	1	YES	1	YES	NO 	0	NO 	NO 	0	481.717	YES	NO 	NO 	NO 	None                          	None                          	125	0.0	0.6	0.9	Factory Insulated             	35	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													1498.178	230.0	5064.827	13820.945	3625.59	556.6	5571.31	15203.04	785.045	120.52	1377.633	3759.297	97.89	2.55	79.53	2.65	0.0	0.0	0.0	0.0	0.15	Medium              	97.89	Pitch Roof-Insul.on Ceiling   	11.0		4404.418		10.8725	1625.23		4844.86	0.0	0	0.0	Sale	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		183.1	0.55	No	9	4															77128021	5.5623e-07	0.0025					
Co. Wexford	Detached house	1995	Existing       	C3	218.24	131.3	0.35	0.21	0.41	2.64	3.0	153.49	101.5	96.2	16.83	2.85	2	54.5	Heating Oil                   	Heating Oil                   	85.0	NO	0	45.3	0.95	0.1	55.0	85.0	0.95	8	28	2	2	1	0	3	0	NO	Natural vent.	0	0	Masonry                       	No                            	0	1	NO	0.0	0.6	1	1	1	NO 	1	NO 	NO 	0	NO 	NO 	0	397.816	YES	NO 	NO 	YES	None                          	None                          	117	0.0	0.6	1.3	Factory Insulated             	30	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													756.537	299.0	3766.718	14862.973	1830.82	723.58	4143.39	16349.27	396.425	156.676	1024.547	4042.729	96.0	2.45	35.3	2.62	0.0	0.0	0.0	0.0	0.15	Medium-high         	65.3	Pitch Roof-Insul.on Ceiling   	82.0	23411.491	2434.825	1291.438	13.6329	954.451	528.198	2921.79	2686.19	1	0.0	Sale	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		85.8	0.29	No	8	4	Timber Frame		41.3	0.484	Yes	8.0	8.0	300mm Cavity		18.8	0.37	No	10.0	4.0	247117046	5.5623e-07	0.0025					
Co. Mayo	Semi-detached house	1997	Existing       	C3	204.57	80.64	0.55	0.2	0.41	2.7	3.0	89.11	40.32	40.32	10.98	3.78	2	52.81	Heating Oil                   	Heating Oil                   	92.8	NO	0	43.2	1.0	0.1	30.0	92.8	1.0	15	1	2	2	1	1	6	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	1	1	YES	1	YES	NO 	0	NO 	NO 	0	291.071	YES	NO 	NO 	NO 	None                          	None                          	120	0.0	0.6	0.9	Factory Insulated             	20	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													662.616	230.0	3114.209	7381.718	1603.53	556.6	3425.63	8119.89	347.211	120.52	847.065	2007.827	40.32	2.53	40.32	2.8	0.0	0.0	0.0	0.0	0.15	Medium-high         	40.32	Pitch Roof-Insul.on Ceiling   	30.0		2537.127		17.0883	936.2		2790.84	0.0	0	0.0	Grant Support	Nov  8 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	Cavity Wall - EPS - 50mm	89.11	0.55	No	8	5															157031001	0.000896515682	0.0025					
Co. Mayo	Semi-detached house	1997	Existing       	C1	162.42	80.64	0.32	0.34	0.44	2.7	3.0	81.39	40.58	40.32	13.19	3.78	2	40.43	Heating Oil                   	Heating Oil                   	92.4	NO	0	37.85	1.0	0.1	76.8	92.4	1.0	15	1	2	2	0	2	6	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	1	1	YES	1	YES	NO 	0	NO 	NO 	0	291.071	YES	NO 	NO 	NO 	None                          	None                          	120	0.0	0.6	0.9	Factory Insulated             	20	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													562.876	230.0	3127.691	6205.164	1362.16	556.6	3440.46	6825.68	294.947	120.52	850.732	1687.805	40.32	2.53	40.32	2.66	0.0	0.0	0.0	0.0	0.15	Medium-high         	28.32	Pitch Roof-Insul.on Ceiling   	50.0		829.509		17.0883	306.089		912.46	0.0	0	0.0	Grant Support	Nov  6 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	Cavity Wall - Bonded Bead 100%	72.01	0.32	No	8	5	300mm Filled Cavity	Cavity Wall - Bonded Bead 100%	9.38	0.28	Yes	8.0	5.0								157031001	7.2453471e-05	0.0025					
Co. Wexford	Semi-detached house	2000	Existing       	F 	384.47	91.0	0.29	0.16	0.41	2.7	3.0	60.5	90.8	91.0	30.48	1.85	1	83.25	Electricity                   	Electricity                   	100.0	NO	0	84.97	1.0	0.1	100.0	100.0	1.0	28	1	2	2	1	0	4	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	1	NO	0.0	0.3	3	5	0	NO 	0	NO 	NO 	0	NO 	NO 	0	314.164	YES	NO 	NO 	NO 	None                          	None                          	162	0.0	0.6	1.0	Factory Insulated             	30	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													670.269	0.0	4417.245	10461.317	1622.05	0.0	9187.87	21759.54	351.221	0.0	1806.653	4278.679	91.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.15	Medium              	77.0	Pitch Roof-Insul.on Ceiling   	35.0		1162.37		32.967	475.409		2417.73	0.0	1	0.0	Grant Support	Oct 29 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity		60.5	0.29	No	9	4															247104002/247104004	0.000221886657	0.012347093849					
Co. Dublin	Mid-terrace house	1930	Existing       	C3	207.71	149.13	1.97	0.45	0.71	2.89	2.42	98.3	85.73	85.69	21.99	3.51	2	42.34	Mains Gas                     	Mains Gas                     	90.4	NO	0	26.44	1.0	0.1	60.0	90.4	1.0	15	1	2	2	3	1	2	0	NO	Natural vent.	0	0	Masonry                       	Yes (Unsealed)                	100	4	NO	0.0	0.0	2	1	1	YES	0	NO 	NO 	1	NO 	NO 	0	431.791	YES	NO 	NO 	NO 	None                          	None                          	114	0.0	0.6	0.9	Factory Insulated             	25	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													1134.62	175.0	4475.0	17812.573	2745.78	423.5	4922.5	19593.83	594.541	91.7	908.425	3615.952	71.43	2.71	77.7	2.86	0.0	0.0	0.0	0.0	0.15	Medium-low          	77.7	Pitch Roof-Insul.on Ceiling   	35.0		2990.609		11.0776	1103.535		3289.67	0.0	0	0.0	Sale	Nov 12 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0														Exposed wall - unknown constru	80.53	2.1	No	3	10		Semi exposed wall - unknown co	17.77	1.377	Yes	3.0	10.0								267025002	0.390179946889	0.028098668116					
Co. Mayo	Semi-detached house	1980	Existing       	C3	204.9	49.44	0.32	0.13	0.64	1.36	3.0	48.53	49.44	49.44	7.1	3.75	1	51.26	Heating Oil                   	Heating Oil                   	92.4	NO	0	50.25	1.0	0.1	77.0	92.4	1.0	15	1	2	2	0	1	4	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	1	1	YES	1	YES	NO 	0	NO 	NO 	0	217.72	YES	NO 	NO 	NO 	None                          	None                          	120	0.0	0.6	0.9	Factory Insulated             	20	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													235.471	230.0	2555.136	4967.664	569.84	556.6	2810.65	5464.43	123.387	120.52	694.997	1351.205	49.44	2.62	0.0	0.0	0.0	0.0	0.0	0.0	0.15	High                	49.44	Pitch Roof-Insul.on Ceiling   	100.0		662.355		27.4474	244.409		728.59	0.0	0	0.0	Grant Support	Nov  1 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	Cavity Wall - Bonded Bead 100%	48.53	0.32	No	6	5															157031003	1.737855e-06	0.0025					
Co. Mayo	Mid-terrace house	1913	Existing       	F 	437.29	90.05	2.1	2.3	0.46	3.3	3.0	35.23	49.11	18.32	6.93	1.88	3	100.52	Heating Oil                   	Electricity                   	60.0	YES	0	76.22	1.0	0.0	0.0	100.0	1.0	1	1	2	2	0	0	2	1	NO	Natural vent.	0	0	Masonry                       	No                            	10	3	NO	0.0	0.3	2	1	0	NO 	1	NO 	NO 	0	NO 	NO 	0	312.088	YES	NO 	NO 	NO 	None                          	None                          	200	0.0	0.6	1.0	None                          	0	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													717.818	130.0	9730.466	15533.8	1737.12	314.6	20239.37	17087.18	376.137	68.12	3979.761	4225.194	18.32	2.36	45.88	2.37	25.85	2.0	0.0	0.0	0.15	Medium              	35.88	Pitch Roof-Insul.on Ceiling   	50.0				12.8262			0.0	0.0	0	0.0	Sale	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													Stone	External walls	35.229	2.1	No	2	1																						
Co. Mayo	Semi-detached house	1980	Existing       	D1	253.89	38.91	0.32	0.13	0.64	1.36	3.0	43.68	38.91	38.91	5.23	3.75	1	65.69	Heating Oil                   	Heating Oil                   	94.1	NO	0	64.81	1.0	0.1	30.0	94.1	1.0	15	1	2	2	0	1	3	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	1	1	YES	1	YES	NO 	0	NO 	NO 	0	191.636	YES	NO 	NO 	NO 	None                          	None                          	120	0.0	0.6	0.9	Factory Insulated             	20	Boiler with insulated primary 	0	0						NO 			NO 		NO 	NO 													188.012	230.0	2309.164	4265.382	454.99	556.6	2540.08	4691.92	98.518	120.52	628.093	1160.184	38.91	2.62	0.0	0.0	0.0	0.0	0.0	0.0	0.15	High                	38.91	Pitch Roof-Insul.on Ceiling   	100.0		1486.564		49.3703	548.542		1635.22	0.0	0	0.0	Grant Support	Nov  1 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	Cavity Wall - Bonded Bead 100%	43.68	0.32	No	6	5															157031003	0.001018081438	0.0025					
Co. Dublin	Mid-terrace house	1974	Existing       	C3	213.29	110.4	0.34	0.77	0.45	2.1	0.0	62.8	95.61	55.5	20.64	0.0	2	45.13	Mains Gas                     	Mains Gas                     	79.9	NO	0	33.77	0.95	0.1	30.0	79.9	0.95	8	28	2	2	1	0	5	0	YES	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.0	2	1	1	NO 	0	NO 	NO 	1	NO 	NO 	0	355.616	YES	NO 	NO 	YES	None                          	None                          	95	0.0	0.6	1.3	Loose Jacket                  	50	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													750.707	214.0	3914.909	9893.555	1816.71	517.88	4306.4	10882.91	393.37	112.136	794.727	2008.392	55.5	2.52	38.1	2.65	0.0	0.0	0.0	0.0	0.15	Medium              	53.613	Room in Roof-Insul.on side    	50.0	18853.124	2798.9	1281.053	14.221	1097.169	523.951	3358.68	2664.59	0	16.8	Grant Support	Nov 15 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Cavity	PUMPED	34.0	0.31	No	5	4	Concrete Hollow Block	EXT	28.8	0.37	No	10.0	7.0								267118020	1.286344e-06	0.0025					
Dublin 24	End of terrace house	1979	Existing       	D2	264.8	80.4	0.29	0.13	0.64	2.49	2.79	80.0	40.0	40.0	7.51	4.97	2	55.07	Mains Gas                     	Mains Gas                     	68.0	NO	0	47.58	0.95	0.1	30.0	68.0	0.95	8	28	2	2	0	2	3	0	NO	Natural vent.	0	0	Masonry                       	No                            	100	2	NO	0.0	0.6	1	1	1	NO 	0	NO 	NO 	1	NO 	NO 	0	290.489	YES	NO 	NO 	YES	None                          	None                          	96	0.0	0.6	1.3	Loose Jacket                  	30	Boiler with uninsulated primar	0	0						NO 			NO 		NO 	NO 													802.831	214.0	4432.664	8147.5	1942.85	517.88	4875.93	8962.25	420.683	112.136	899.831	1653.943	40.2	2.38	40.2	2.63	0.0	0.0	0.0	0.0	0.15	Medium              	40.0	Pitch Roof-Insul.on Ceiling   	9.0	16828.812	1966.817	1265.0	16.6667	770.992	517.385	2360.18	2631.2	0	0.0	Other	Oct 24 2013 12:00AM	1	Renewable Thermal		0	0	0.0	0.0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0	1	Renewable Thermal		0	0	0	0		0	0	0													300mm Filled Cavity	80mm CWI	80.0	0.29	No	6	5															267148013	5.5623e-07	0.0025					
